id,Distance,Charge,SD,PPV,V,L,T,logD,logW,logSD,W2_D,sqrtW,ratio_VL,ratio_VT,ratio_LT,dominant,anomalous,sd_quartile,AF_V,AF_L,AF_T,hp_pred_resultant
81,300,1500.0,7.75,182.33,105.61,104.95,105.24,2.4771212547196626,3.1760912590556813,0.8893017025063104,7500.0,38.72983346207417,1.0062887089090042,1.0035157734701634,0.9972443937666288,V,1,0,0.5899913202168321,0.5863042236223515,0.5879243115199263,179.00263339668535
82,350,1950.0,7.93,175.74,101.52,101.32,101.55,2.544068044350276,3.290034611362518,0.8992731873176038,10864.285714285714,44.15880433163923,1.0019739439399922,0.9997045790251108,0.9977351058591828,T,1,0,0.5852469553781416,0.5840939865929207,0.5854199006959248,173.46523389328112
83,400,1850.0,9.3,129.45,77.11,77.0,69.88,2.6020599913279625,3.2671717284030137,0.9684829485539352,8556.25,43.01162633521314,1.0014285714285711,1.1034630795649685,1.1018889524899829,V,1,0,0.5528645407106421,0.552075860909343,0.5010267683161673,139.47358588214792
84,450,1100.0,13.57,69.715,40.27,40.15,40.33,2.6532125137753435,3.041392685158225,1.132579847659737,2688.8888888888887,33.166247903554,1.002988792029888,0.9985122737416317,0.9955368212248946,T,1,1,0.48425340031352343,0.4828103804963487,0.4849749102221107,83.15894111208662
85,500,1050.0,15.43,55.67,32.28,31.98,32.17,2.6989700043360187,3.0211892990699383,1.1883659260631485,2205.0,32.4037034920393,1.0093808630393997,1.0034193347839602,0.9940938762822504,V,1,1,0.46277874315383566,0.4584778254665324,0.46120174000182446,69.75255557334354
86,550,1750.0,13.15,73.31,42.51,42.02,42.45,2.740362689494244,3.2430380486862944,1.1189257528257768,5568.181818181818,41.83300132670378,1.0116611137553544,1.0014134275618374,0.9898704358068317,V,1,0,0.4896605996480765,0.48401642900993125,0.48896947671279345,86.81523494141109
87,600,1200.0,17.32,45.77,26.46,26.39,26.42,2.7781512503836434,3.0791812460476247,1.2385478876813278,2400.0,34.64101615137755,1.0026525198938991,1.0015140045420137,0.9988644965934896,V,1,1,0.4443331839984269,0.4431576993846745,0.4436614785048541,59.54990748585115
88,650,1400.0,17.37,45.6,26.33,26.3,26.35,2.812913356642856,3.146128035678238,1.2397998184470986,3015.3846153846152,37.416573867739416,1.0011406844106463,0.9992409867172676,0.9981024667931688,T,1,1,0.4438979715188382,0.4433922009474153,0.44423515189978685,59.31543212488549
89,700,1700.0,16.98,47.42,27.39,27.32,27.43,2.845098040014257,3.230448921378274,1.2299376859079338,4128.571428571428,41.23105625617661,1.002562225475842,0.998541742617572,0.9959897921983232,T,1,1,0.4476380745202942,0.4464940560750068,0.44829179934617264,61.187824626741495
90,750,1350.0,20.41,34.38,19.95,19.75,19.84,2.8750612633917,3.130333768495006,1.3098430047160703,2430.0,36.74234614174768,1.010126582278481,1.0055443548387095,0.9954637096774194,V,1,2,0.41940760976869784,0.4152030222020944,0.41709508660706596,47.56709114315396
91,800,1800.0,18.86,39.54,22.86,22.84,22.79,2.903089986991944,3.255272505103306,1.2755416884013095,4050.0,42.42640687119285,1.000875656742557,1.0030715225976303,1.0021939447125934,V,1,1,0.43134508183307413,0.4309677020589419,0.4300242526236115,52.9970108917263
92,850,1300.0,23.57,26.87,15.57,15.45,15.52,2.929418925714293,3.113943352306837,1.3723595825243238,1988.235294117647,36.05551275463989,1.0077669902912625,1.003221649484536,0.9954896907216496,V,1,2,0.3986045089045507,0.3955324124968084,0.3973244687346581,39.06127415063529
93,900,1550.0,22.86,28.39,16.42,16.35,16.4,2.9542425094393248,3.1903316981702914,1.3590762260592628,2669.4444444444443,39.370039370059054,1.004281345565749,1.0012195121951222,0.9969512195121952,V,1,2,0.40313188157238083,0.4014132925522793,0.40264085613806605,40.73108764296989
94,950,1200.0,27.42,20.83,12.0,12.05,12.02,2.977723605288848,3.0791812460476247,1.4380674504534938,1515.7894736842106,34.64101615137755,0.9958506224066388,0.9983361064891848,1.002495840266223,L,1,3,0.37788758896983443,0.37946212059054213,0.3785174016181175,31.75547530606495
95,1000,1950.0,22.65,28.85,16.69,16.66,16.62,3.0,3.290034611362518,1.3550682063488506,3802.5,44.15880433163923,1.0018007202881154,1.0042117930204573,1.0024067388688327,V,1,2,0.4046177713920115,0.40389047761479396,0.40292075257850396,41.24880610799963
96,1050,1900.0,24.09,26.02,15.0,15.05,15.02,3.0211892990699383,3.278753600952829,1.3818367999983434,3438.095238095238,43.58898943540674,0.9966777408637874,0.9986684420772304,1.0019973368841546,L,1,2,0.3956538292731393,0.39697267537071645,0.3961813677121701,37.91192929323265
97,1100,1100.0,33.17,13.94,8.66,8.59,8.62,3.041392685158225,3.041392685158225,1.5207454715194824,1100.0,33.166247903554,1.0081490104772992,1.0046403712296983,0.9965197215777264,V,1,3,0.35387706295872023,0.35101662480547424,0.35224252687115104,24.471775388873365
98,1150,1400.0,30.74,15.36,8.87,8.89,8.84,3.060697840353612,3.146128035678238,1.4877038631637265,1704.3478260869565,37.416573867739416,0.997750281214848,1.003393665158371,1.005656108597285,L,1,3,0.3266159556063259,0.32735240646451386,0.3255112793190441,27.15727706423233
99,1200,1550.0,30.48,17.4,10.01,10.05,10.08,3.0791812460476247,3.1903316981702914,1.484014962667563,2002.0833333333333,39.370039370059054,0.9960199004975124,0.9930555555555556,0.9970238095238096,T,1,3,0.3643336000703928,0.3657894785921526,0.36688138748347243,27.474819775244367
